customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
RB50392,Washington,Female,Master,793690.26,-1.2902789187598303,1000.0,0,Personal Auto,Four-Door Car,2.704934
QZ44356,Arizona,Female,Bachelor,697953.59,-1.2902789187598303,94.0,0,Personal Auto,Four-Door Car,1131.464935
AI49188,Nevada,Female,Bachelor,1288743.17,0.31099119699097144,108.0,0,Personal Auto,Two-Door Car,566.472247
WW63253,California,Male,Bachelor,764586.18,-1.2902789187598303,106.0,0,Corporate Auto,SUV,529.881344
GA49547,Washington,Male,High School or Below,536307.65,-0.09649259607539412,68.0,0,Personal Auto,Four-Door Car,17.269323
OC83172,Oregon,Female,Bachelor,825629.78,0.7751155656447247,69.0,0,Personal Auto,Two-Door Car,159.383042
XZ87318,Oregon,Female,College,538089.86,0.5271447674789557,67.0,0,Corporate Auto,Four-Door Car,321.6
CF85061,Arizona,Male,Master,721610.03,-1.2902789187598303,101.0,0,Corporate Auto,Four-Door Car,363.02968
DY87989,Oregon,Male,Bachelor,2412750.4,-0.8282231624318773,71.0,0,Corporate Auto,Four-Door Car,511.2
BQ94931,Oregon,Female,College,738817.81,-0.3442335484271853,93.0,0,Special Auto,Four-Door Car,425.527834
SX51350,California,Male,College,473899.2,-1.2902789187598303,67.0,0,Personal Auto,Four-Door Car,482.4
VQ65197,California,Male,College,819719.71,-1.2902789187598303,110.0,0,Personal Auto,SUV,528.0
DP39365,California,Female,Master,879879.7,1.23887874801937,110.0,2,Corporate Auto,Four-Door Car,472.029737
SJ95423,Arizona,Female,High School or Below,881901.89,1.9881432664707315,110.0,1,Corporate Auto,SUV,528.0
IL66569,California,Female,College,538443.17,1.4576591278099578,70.0,2,Corporate Auto,Four-Door Car,307.139132
BW63560,Oregon,Male,Bachelor,746313.94,-0.4825678933255413,64.0,1,Corporate Auto,Four-Door Car,42.920271
FV94802,Nevada,Male,High School or Below,256686.78,-0.4677920909983967,67.0,0,Personal Auto,Two-Door Car,454.245098
OE15005,California,Female,College,394524.16,-0.3428216384270359,101.0,0,Personal Auto,SUV,647.442031
WC83389,Oregon,Male,College,571033.31,0.3891716088597077,72.0,0,Personal Auto,Four-Door Car,308.981664
FL50705,California,Female,High School or Below,816261.71,0.8814356721676008,101.0,0,Corporate Auto,Four-Door Car,484.8
ZK25313,Oregon,Male,High School or Below,287205.13,0.6059162114407777,74.0,0,Personal Auto,Two-Door Car,355.2
QK46697,Washington,Male,Bachelor,617710.93,0.7139765791266286,79.0,1,Personal Auto,Two-Door Car,20.382876
YH23384,Arizona,Male,Bachelor,2412750.4,-0.8282231624318773,71.0,0,Personal Auto,Four-Door Car,511.2
TZ98966,Nevada,Male,Bachelor,245019.1,-1.2902789187598303,73.0,3,Corporate Auto,Four-Door Car,554.376763
HM55802,California,Female,Bachelor,239210.79,-0.703515390790777,61.0,0,Corporate Auto,Four-Door Car,439.2
FS42516,Oregon,Female,College,580206.6,1.9124911585557511,72.0,0,Personal Auto,Four-Door Car,389.185006
US89481,California,Female,Bachelor,394637.21,-1.2902789187598303,111.0,0,Personal Auto,Four-Door Car,799.2
HS14476,Washington,Male,College,916206.32,-0.3143207574937881,80.0,0,Personal Auto,Four-Door Car,20.985105
GE62437,Arizona,Male,College,1290256.01,1.5527167894479212,111.0,2,Personal Auto,Four-Door Car,532.8
EJ77678,Oregon,Female,Master,323536.05,1.1950110326658918,80.0,1,Personal Auto,Four-Door Car,384.0
SV85652,Arizona,Female,College,245458.35,-0.5298832958886865,63.0,1,Personal Auto,Four-Door Car,322.294043
